Length: 1.28 seconds | Samples: 28245 | Sent: 18445

Num Buffs: 9 | Buff Total Size: 44100  |Rec Start: 8 / 9
Length: 0.64 seconds | Samples: 14121 | Sent: 9221

Num Buffs: 9 | Buff Total Size: 66150  |Rec Start: 3 / 9
Length: 5.76 seconds | Samples: 127109 | Sent: 83009

Num Buffs: 9 | Buff Total Size: 66150  |Rec Start: 4 / 9
Length: 4.8 seconds | Samples: 105924 | Sent: 69174

Num Buffs: 9 | Buff Total Size: 66150  |Rec Start: 5 / 9
Length: 3.84 seconds | Samples: 84739 | Sent: 55339

Num Buffs: 9 | Buff Total Size: 66150  |Rec Start: 6 / 9
Length: 2.88 seconds | Samples: 63554 | Sent: 41504

Num Buffs: 9 | Buff Total Size: 66150  |Rec Start: 7 / 9
Length: 1.92 seconds | Samples: 42368 | Sent: 27668

Num Buffs: 9 | Buff Total Size: 66150  |Rec Start: 8 / 9
Length: 0.96 seconds | Samples: 21183 | Sent: 13833

Num Buffs: 9 | Buff Total Size: 88200  |Rec Start: 3 / 9
Length: 7.69 seconds | Samples: 169480 | Sent: 110680

Num Buffs: 9 | Buff Total Size: 88200  |Rec Start: 4 / 9
Length: 6.41 seconds | Samples: 141233 | Sent: 92233

Num Buffs: 9 | Buff Total Size: 88200  |Rec Start: 5 / 9
Length: 5.12 seconds | Samples: 112986 | Sent: 73786

Num Buffs: 9 | Buff Total Size: 88200  |Rec Start: 6 / 9
Length: 3.84 seconds | Samples: 84739 | Sent: 55339

Num Buffs: 9 | Buff Total Size: 88200  |Rec Start: 7 / 9
Length: 2.56 seconds | Samples: 56492 | Sent: 36892

Num Buffs: 9 | Buff Total Size: 88200  |Rec Start: 8 / 9
Length: 1.28 seconds | Samples: 28245 | Sent: 18445

